MWGS	Breezer_MGWS	Commencal_MGWS	IronHorse_MGWS	Scott_MGWS	V1V9	Scott_V1V9	IronHorse_V1V9	Commencal_V1V9	Breezer_V1V9	V1V3	Scott_V1V3	IronHorse_V1V3	Commencal_V1V3	Breezer_V1V3
Bacteroides sp. 3_2_5	0.0002233	0.0002101	0.001227	0.0005877	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 4_1_36	0.004004	0.008339	0.01775	0.01636	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 4_3_47FAA	0.004227	0.0007809	0.015	0.02176	Missing	0.0	0.0	0.0	0.0	OTU_14	0.0	146.0	0.0	4.0
Bacteroides sp. 9_1_42FAA	0.003108	0.004111	0.001998	0.01242	Missing	0.0	0.0	0.0	0.0	OTU_1	584.0	0.0	341.0	13.0
Bacteroides sp. D1	0.0003193	0.000206	0.002347	0.001873	Missing	0.0	0.0	0.0	0.0	OTU_10	0.0	116.0	0.0	1.0
Bacteroides sp. D2	0.0001608	0.0003622	0.0008994	0.005363	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. D20	0.004853	0.003248	0.02188	0.01339	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. D22	0.0004077	0.000278	0.00479	0.002989	Missing	0.0	0.0	0.0	0.0	OTU_10	0.0	116.0	0.0	1.0
Bacteroides sp. HPS0048	0.001104	2.48e_05	0.0002756	0.0001048	Missing	0.0	0.0	0.0	0.0	OTU_28	0.0	0.0	0.0	6.0
Bacteroides stercoris	0.00542	0.003928	0.001985	0.1543	OTU_7	1390.0	0.0	2.0	4.0	OTU_4	846.0	0.0	22.0	6.0
Bacteroides thetaiotaomicron	0.003956	0.001493	0.00168	0.005189	Missing	0.0	0.0	0.0	0.0	OTU_16	30.0	10.0	5.0	28.0
Bacteroides uniformis	0.01027	0.009643	0.04877	0.03874	OTU_3	130.0	938.0	67.0	15.0	OTU_3	335.0	504.0	96.0	18.0
Bacteroides vulgatus	0.02342	0.002969	0.1095	0.132	OTU_1	1325.0	2892.0	0.0	144.0	OTU_2	1136.0	961.0	2.0	125.0
Bacteroides xylanisolvens	0.001297	0.001205	0.01558	0.01042	OTU_8	0.0	178.0	0.0	1.0	OTU_10	0.0	116.0	0.0	1.0
